会員番号,受付番号,申請番号,受付年月日,管理番号,登録年月日,決済ステータス,処理状態,利用者ID,利用者氏名,利用者区分
AA10000000AA,R400000,東京オンAB10-20000,20260101,M0900000,20250101,決済済,TRUE,U07000,佐藤 一郎,一般
HD10000137FL,R400003,大阪オンBC11-20001,20260202,M0900001,20250202,決済済,FALSE,U07001,鈴木 花子,優待
OG10000274KW,R400006,名古屋オンCD12-20002,20260303,M0900002,20250303,決済済,FALSE,U07002,高橋 次郎,法人
VJ10000411PH,R400009,福岡オンDE13-20003,20260404,M0900003,20250404,決済済,FALSE,U07003,田中 三郎,一般
CM10000548US,R400012,札幌オンEF14-20004,20260505,M0900004,20250505,決済済,FALSE,U07004,伊藤 良子,優待
JP10000685ZD,R400015,仙台オンFG15-20005,20260606,M0900005,20250606,決済済,FALSE,U07005,渡辺 健,法人
QS10000822EO,R400018,広島オンGH16-20006,20260707,M0900006,20250707,決済済,FALSE,U07006,山本 明,一般
XV10000959JZ,R400021,高松オンHI17-20007,20260808,M0900007,20250808,決済済,FALSE,U07007,中村 誠,優待
EY10001096OK,R400024,東京オンIJ18-20008,20260909,M0900008,20250909,決済済,FALSE,U07008,小林 舞,法人
LB10001233TV,R400027,大阪オンJK19-20009,20261010,M0900009,20251010,決済済,FALSE,U07009,加藤 涼,一般
SE10001370YG,R400030,名古屋オンKL20-20010,20261111,M0900010,20251111,決済済,FALSE,U07010,佐藤 一郎,優待
ZH10001507DR,R400033,福岡オンLM21-20011,20261212,M0900011,20251212,決済済,FALSE,U07011,鈴木 花子,法人
GK10001644IC,R400036,札幌オンMN22-20012,20260113,M0900012,20250113,決済済,FALSE,U07012,高橋 次郎,一般
NN10001781NN,R400039,仙台オンNO23-20013,20260214,M0900013,20250214,決済済,FALSE,U07013,田中 三郎,優待
UQ10001918SY,R400042,広島オンOP24-20014,20260315,M0900014,20250315,決済済,FALSE,U07014,伊藤 良子,法人
BT10002055XJ,R400045,高松オンPQ25-20015,20260416,M0900015,20250416,決済済,FALSE,U07015,渡辺 健,一般
IW10002192CU,R400048,東京オンQR26-20016,20260517,M0900016,20250517,決済済,FALSE,U07016,山本 明,優待
