【共通】決済品目,【共通】取引ID,【共通】取引日時,【共通】決済会社コード,【共通】決済会社名,【共通】ステータス,【共通】金額,【共通】取引結果,【共通】結果コード,【共通】備考,【共通】会員ID,【共通】取引メモ1,【共通】取引メモ2,【共通】取引メモ3,【共通】FreeKey,【銀行】収納機関番号,【銀行】お客様番号,【銀行】確認番号,【銀行】氏名(姓),【銀行】支払金融機関コード,【銀行】支払金融機関名,【銀行】支払金融機関店舗コード,【銀行】支払期限,【銀行】請求内容(漢字),【銀行】請求内容(カナ),【銀行】入金日,【銀行】印紙税,【銀行】備考,【銀行】請求番号
bank,PRE_AB10000001CA-乙ウエXB26-10001-00-XB_1,2026/4/2 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0002,サンプル銀行,000,20260601,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0001
bank,PRE_AB10000002EA-丙オカXC26-10002-00-XC_1,2026/4/3 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0003,サンプル銀行,000,20260602,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0002
bank,PRE_AB10000003CF-甲アイXD26-10003-00-XD_1,2026/4/4 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0004,サンプル銀行,000,20260603,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0003
bank,PRE_AB10000004GA-乙ウエXE26-10004-00-XE_1,2026/4/5 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0005,サンプル銀行,000,20260604,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0004
bank,PRE_AB10000005MA-丙オカXF26-10005-00-XF_1,2026/4/6 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0006,サンプル銀行,000,20260605,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0005
bank,PRE_AB10000006KA-甲アイXG26-10006-00-XG_1,2026/4/7 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0007,サンプル銀行,000,20260606,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0006
bank,PRE_PRE_AB10000007CD-乙ウエXH26-10007-00-XH_1,2026/4/8 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0008,サンプル銀行,000,20260607,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0007
bank,PRE_AB10000008FA-丙オカXA26-10008-00-XA_1,2026/4/9 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0009,サンプル銀行,000,20260608,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0008
bank,PRE_AB10000009CA-甲アイXB26-10009-00-XB_1,2026/4/10 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0001,サンプル銀行,000,20260609,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0009
bank,PRE_AB10000010EA-乙ウエXC26-10010-00-XC_1,2026/4/11 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0002,サンプル銀行,000,20260610,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0010
