送信日時,オーダーID,金種別取引番号1,金種別取引番号2,決済ステータス,決済金額,決済期限,備考1,備考2,氏名,請求方法,受付番号,支払い方法,決済画面入力メールアドレス,支払メール送付先メールアドレス
2026/4/2 17:45,PRE_AB10000001CA-乙ウエXB26-10001-00-XB_1,-,-,決済済,20000,20260601,品目B,乙ウエXB26-10001/19800207/経路2//拠点2/区分B/利用者1,user10001-利用者1,メール,乙ウエXB26-10001,-,-,sample1@example.test
2026/4/3 17:45,PRE_AB10000002EA-丙オカXC26-10002-00-XC_1,-,-,決済済,30000,20260602,品目C,丙オカXC26-10002/19800315/経路1//拠点3/区分C/利用者2,user10002-利用者2,メール,丙オカXC26-10002,-,-,sample2@example.test
2026/4/4 17:45,PRE_AB10000003CF-甲アイXD26-10003-00-XD_1,-,-,決済済,40000,20260603,品目D,甲アイXD26-10003/19800421/経路2//拠点4/区分A/利用者3,user10003-利用者3,メール,甲アイXD26-10003,-,-,sample3@example.test
2026/4/5 17:45,PRE_AB10000004GA-乙ウエXE26-10004-00-XE_1,-,-,決済済,50000,20260604,品目E,乙ウエXE26-10004/19800528/経路1//拠点5/区分B/利用者4,user10004-利用者4,メール,乙ウエXE26-10004,-,-,sample4@example.test
2026/4/6 17:45,PRE_AB10000005MA-丙オカXF26-10005-00-XF_1,-,-,決済済,10000,20260605,品目F,丙オカXF26-10005/19800704/経路2//拠点1/区分C/利用者5,user10005-利用者5,メール,丙オカXF26-10005,-,-,sample5@example.test
2026/4/7 17:45,PRE_AB10000006KA-甲アイXG26-10006-00-XG_1,-,-,決済済 ,20000,20260606,品目A,甲アイXG26-10006/19800810/経路1//拠点2/区分A/利用者6,user10006-利用者6,メール,甲アイXG26-10006,-,-,sample6@example.test
2026/4/8 17:45,PRE_AB10000007CD-乙ウエXH26-10007-00-XH_1,-,-,未決済,30000,20260607,品目B,乙ウエXH26-10007/19800916/経路2//拠点3/区分B/利用者7,user10007-利用者7,メール,乙ウエXH26-10007,-,-,sample7@example.test
2026/4/9 17:45,PRE_AB10000008FA-丙オカXA26-10008-00-XA_1,-,-,未決済,40000,20260608,品目C,丙オカXA26-10008/19801023/経路1//拠点4/区分C/利用者8,user10008-利用者8,メール,丙オカXA26-10008,-,-,sample8@example.test
2026/4/10 17:45,PRE_AB10000009CA-甲アイXB26-10009-00-XB_1,-,-,未決済,50000,20260609,品目D,甲アイXB26-10009/19801129/経路2//拠点5/区分A/利用者9,user10009-利用者9,メール,甲アイXB26-10009,-,-,sample9@example.test
2026/4/11 17:45,PRE_AB10000010EA-乙ウエXC26-10010-00-XC_1,-,-,未決済,10000,20260610,品目E,乙ウエXC26-10010/19810105/経路1//拠点1/区分B/利用者10,user10010-利用者10,メール,乙ウエXC26-10010,-,-,sample10@example.test
2026/4/12 17:45,PRE_AB10000011CF-丙オカXD26-10011-00-XD_1,-,-,未決済,20000,20260611,品目F,丙オカXD26-10011/19810211/経路2//拠点2/区分C/利用者11,user10011-利用者11,メール,丙オカXD26-10011,-,-,sample11@example.test
2026/4/13 17:45,PRE_AB10000012GA-甲アイXE26-10012-00-XE_1,-,-,未決済,30000,20260612,品目A,甲アイXE26-10012/19810320/経路1//拠点3/区分A/利用者12,user10012-利用者12,メール,甲アイXE26-10012,-,-,sample12@example.test
2026/4/14 17:45,PRE_AB10000013MA-乙ウエXF26-10013-00-XF_1,-,-,未決済,40000,20260613,品目B,乙ウエXF26-10013/19810426/経路2//拠点4/区分B/利用者13,user10013-利用者13,メール,乙ウエXF26-10013,-,-,sample13@example.test
2026/4/15 17:45,PRE_AB10000014KA-丙オカXG26-10014-00-XG_1,-,-,未決済,50000,20260614,品目C,丙オカXG26-10014/19810602/経路1//拠点5/区分C/利用者14,user10014-利用者14,メール,丙オカXG26-10014,-,-,sample14@example.test
2026/4/16 17:45,PRE_AB10000015CD-甲アイXH26-10015-00-XH_1,-,-,未決済,10000,20260615,品目D,甲アイXH26-10015/19810709/経路2//拠点1/区分A/利用者15,user10015-利用者15,メール,甲アイXH26-10015,-,-,sample15@example.test
2026/4/17 17:45,PRE_AB10000016FA-乙ウエXA26-10016-00-XA_1,-,-,未決済,20000,20260616,品目E,乙ウエXA26-10016/19810815/経路1//拠点2/区分B/利用者16,user10016-利用者16,メール,乙ウエXA26-10016,-,-,sample16@example.test
2026/4/18 17:45,PRE_AB10000017CA-丙オカXB26-10017-00-XB_1,-,-,未決済,30000,20260617,品目F,丙オカXB26-10017/19810921/経路2//拠点3/区分C/利用者17,user10017-利用者17,メール,丙オカXB26-10017,-,-,sample17@example.test
2026/4/19 17:45,PRE_AB10000018EA-甲アイXC26-10018-00-XC_1,-,-,未決済,40000,20260618,品目A,甲アイXC26-10018/19811028/経路1//拠点4/区分A/利用者18,user10018-利用者18,メール,甲アイXC26-10018,-,-,sample18@example.test
